date,comment,sentiment,score,topic,post_id,post_text
2025-11-18,cette plateforme est nulle,négatif,-0.9622219800949097,Service Client,0,Dans notre mission d
2025-11-18,Cv,neutre,0.0,Service Client,0,Dans notre mission d
2025-11-18,je n'aime pas vos postes,négatif,-0.9620594382286072,Autre,1,Les femmes de Yas au
2025-11-18,Super ! Bravo !,positif,0.907413899898529,Autre,1,Les femmes de Yas au
2025-11-18,cette mission est un échec total,négatif,-0.9630883932113647,Couverture,2,Revivez les moments 
2025-11-18,Bravo 🎊 mes ladies,positif,0.9335039258003235,Couverture,2,Revivez les moments 
2025-11-18,Très fière de vous Ladies 🎗️🎗️🎗️,positif,0.9126976728439331,Couverture,2,Revivez les moments 
2025-11-18,Oui d'accord,neutre,0.0,Couverture,4,"Le 
hashtag
#CampAGC"
2025-11-18,"Bonjour !
Mais comment faire pour rejoindre le groupe",neutre,0.0,Couverture,4,"Le 
hashtag
#CampAGC"
2025-11-18,"Vive ONU Femme, Vive Yas 
Yéna meilleur 🥰🥰🥰",positif,0.8375228643417358,Couverture,4,"Le 
hashtag
#CampAGC"
2025-11-18,Très bonne initiative 👌,positif,0.9234486818313599,Couverture,4,"Le 
hashtag
#CampAGC"
2025-11-18,Yes aux Opportunités avec Yas,positif,0.8593814373016357,Service Client,5,🎉 Yas Sénégal au SIP
2025-11-18,Le meilleur,positif,0.9075643420219421,Service Client,5,🎉 Yas Sénégal au SIP
2025-11-18,"En tant que passionnée par l'innovation, le digital et les projets à impact, je trouve cette initiative particulièrement inspirante. Ce genre de démarche motive et challenge aussi celles et ceux qui travaillent à créer du changement dans leur domain 💯 Well done 👏",positif,0.9524944424629211,Application,7,🚀 Heureux de vous an
2025-11-18,"Félicitations Adnane pour cette innovation qui j’en suis sûre, transformera la vie de plusieurs sénégalais (ma mère en 1er) 👏🏽👌.
Cc Karamokho BADIANE & team 👏🏽.",positif,0.9361619353294373,Application,7,🚀 Heureux de vous an
2025-11-18,Superbe innovation,positif,0.8858765959739685,Application,7,🚀 Heureux de vous an
2025-11-18,AKASSAA Yas Senegal !,positif,0.6582350730895996,Autre,9,Clap de fin sur la 4
2025-11-18,Passionnant 🔥,positif,0.8625054359436035,Service Client,11,Retour sur la premiè
2025-11-18,Good Job 👍,positif,0.8627195954322815,Service Client,11,Retour sur la premiè
2025-11-18,Passionnant 🔥,positif,0.8625054359436035,Service Client,11,Retour sur la premiè
2025-11-18,Excellents progrès Yas Senegal,positif,0.8979751467704773,Réseau,12,"Le mardi 24 juin, no"
2025-11-18,Félicitations ! 🎉,positif,0.9302880167961121,Service Client,13,Nous avons eu l’honn
2025-11-18,Congratulations! Samba DIOUF ! still be bold and all the best…👏🏿✌🏿🙏🏿🙏🏿🙏🏿,positif,0.8979908227920532,Service Client,13,Nous avons eu l’honn
2025-11-18,Félicitations ! 🎉,positif,0.9302880167961121,Service Client,14,🎉 La Mixx Mastercard
2025-11-18,Excellents progrès,positif,0.7997482419013977,Service Client,14,🎉 La Mixx Mastercard
2025-11-18,Merci de votre partage,positif,0.9097521305084229,Autre,15,Saisissez cette oppo
2025-11-18,Big thanks for sharing,positif,0.9055759310722351,Autre,15,Saisissez cette oppo
2025-11-18,Merci de votre partage,positif,0.9097521305084229,Autre,15,Saisissez cette oppo
2025-11-18,C’est quoi le code secret pour regarder l’enregistrement ?,neutre,0.0,Autre,15,Saisissez cette oppo
2025-11-18,Big thanks for sharing,positif,0.9055759310722351,Autre,15,Saisissez cette oppo
2025-11-18,Impressionnant,positif,0.6230729222297668,Autre,15,Saisissez cette oppo
2025-11-18,"C'est Flow, c'est fluide et c'est fun...Une plateforme pensée par et pour la jeunesse GALSEN...
hashtag
#MaNgiCiFlow",positif,0.907954216003418,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,"Honnêtement, y a-t-il un combo plus fort que VJ ""Khalé bi khalé yi beug"" (ak mak yi sakh) et les offres préférées des jeunes ? Clairement pas ! Un grand bravo ! 👏",positif,0.8767023682594299,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,"Une plate-forme conçue par les jeunes (de Yas) pour les jeunes du 🇸🇳
Fier du vous Team 👏🏽👏🏽👏🏽",positif,0.9190478324890137,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Et dire que ce n’est que le début !!! Incroyable. Excellent travail et félicitations à toute l’équipe projet Marème Dickel DIA & Cheikh Makhtar Ndiaye. Le meilleur reste à venir 🙌🏽,positif,0.9474640488624573,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Absolument incroyable rien a dire 🥳👏🏾,positif,0.8247791528701782,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Félicitations ! 🎉,positif,0.9302880167961121,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,"hashtag
#mangiciflow",neutre,0.0,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Excellent travail,positif,0.8476995229721069,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Je m’en réjouis 🔥,positif,0.8166348338127136,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Félicitations ! 🎉,positif,0.9302880167961121,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Bien joué !,positif,0.7739495038986206,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Excellent travail,positif,0.8476995229721069,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Super 👍👍,positif,0.7435198426246643,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Jean Pierre BOEP,neutre,0.0,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Bien joué,positif,0.708182692527771,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Excellent travail,positif,0.8476995229721069,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Félicitations ! 🎉,positif,0.9302880167961121,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,"C'est vraiment DOPE !
Réalisation - Concept - Flow...",négatif,-0.9534121155738831,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Félicitations ! 🎉,positif,0.9302880167961121,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Je m’en réjouis 🔥,positif,0.8166348338127136,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,"Africa Invest Forum, c’est plus qu’un rendez-vous : 
C’est un espace de réflexion, d’action et de connexion autour de l’investissement et du développement du continent.

Deux jours d’échanges de haut niveau, d’ateliers pratiques, de pitchs inspirants et de rencontres ciblées.
Un cadre stratégique pour faire émerger des solutions, valoriser les talents et bâtir des partenariats solides pour l’Afrique de demain.

📍 13 & 14 novembre 2025 – Grand Théâtre National, Dakar
🔗 Inscription :",positif,0.7960633039474487,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Félicitations ! 🎉,positif,0.9302880167961121,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Bien joué. Mais il faut indiquer le réalisateur.,positif,0.640656054019928,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Félicitations ! 🎉,positif,0.9302880167961121,Service Client,16,🚀𝐘𝐚𝐬 𝐥𝐚𝐧𝐜𝐞 𝐅𝐥𝐨𝐰 : 𝐮𝐧
2025-11-18,Félicitations !,positif,0.9156500697135925,Service Client,17,𝐀𝐮𝐝𝐢𝐞𝐧𝐜𝐞 𝐌𝐢𝐧𝐢𝐬𝐭𝐞̀𝐫𝐞 
2025-11-18,"Yas Senegal Félicitations à Yas Sénégal pour cette belle reconnaissance au GITEX AFRICA 2025 ! Une innovation utile, inclusive et ancrée dans les besoins des PME sénégalaises. Bravo pour cette dynamique au service du digital, de l’emploi des jeunes et du développement économique national. 💡🇸🇳",positif,0.9493927955627441,Service Client,17,𝐀𝐮𝐝𝐢𝐞𝐧𝐜𝐞 𝐌𝐢𝐧𝐢𝐬𝐭𝐞̀𝐫𝐞 
2025-11-18,Well done!,positif,0.8851912021636963,Service Client,17,𝐀𝐮𝐝𝐢𝐞𝐧𝐜𝐞 𝐌𝐢𝐧𝐢𝐬𝐭𝐞̀𝐫𝐞 
2025-11-18,Raddi Elmamoun thank you dear,positif,0.7745077013969421,Service Client,17,𝐀𝐮𝐝𝐢𝐞𝐧𝐜𝐞 𝐌𝐢𝐧𝐢𝐬𝐭𝐞̀𝐫𝐞 
2025-11-18,"Travail remarquable, je suis très heureux d'être membre de Yas",positif,0.9591970443725586,Service Client,17,𝐀𝐮𝐝𝐢𝐞𝐧𝐜𝐞 𝐌𝐢𝐧𝐢𝐬𝐭𝐞̀𝐫𝐞 
2025-11-18,Félicitations Nawal,positif,0.8009099364280701,Service Client,17,𝐀𝐮𝐝𝐢𝐞𝐧𝐜𝐞 𝐌𝐢𝐧𝐢𝐬𝐭𝐞̀𝐫𝐞 
2025-11-18,Elhadji Seydou Mboup merci beaucoup,positif,0.8186298608779907,Service Client,17,𝐀𝐮𝐝𝐢𝐞𝐧𝐜𝐞 𝐌𝐢𝐧𝐢𝐬𝐭𝐞̀𝐫𝐞 
2025-11-18,Merci beaucoup sister Koudy WANE pour tout le support . One love ❤️,positif,0.918292760848999,Service Client,17,𝐀𝐮𝐝𝐢𝐞𝐧𝐜𝐞 𝐌𝐢𝐧𝐢𝐬𝐭𝐞̀𝐫𝐞 
2025-11-18,Félicitations ! yeam Yas,positif,0.9255224466323853,Service Client,17,𝐀𝐮𝐝𝐢𝐞𝐧𝐜𝐞 𝐌𝐢𝐧𝐢𝐬𝐭𝐞̀𝐫𝐞 
2025-11-18,Bravo !,positif,0.8123321533203125,Service Client,17,𝐀𝐮𝐝𝐢𝐞𝐧𝐜𝐞 𝐌𝐢𝐧𝐢𝐬𝐭𝐞̀𝐫𝐞 
2025-11-18,Félicitations  Nawal,positif,0.8009099364280701,Service Client,17,𝐀𝐮𝐝𝐢𝐞𝐧𝐜𝐞 𝐌𝐢𝐧𝐢𝐬𝐭𝐞̀𝐫𝐞 
2025-11-18,Aboubacry Tobe merci beaucoup,positif,0.8812936544418335,Service Client,17,𝐀𝐮𝐝𝐢𝐞𝐧𝐜𝐞 𝐌𝐢𝐧𝐢𝐬𝐭𝐞̀𝐫𝐞 
2025-11-18,Congratulations Nawal Dine Kolawole TOURE,positif,0.7637134790420532,Service Client,17,𝐀𝐮𝐝𝐢𝐞𝐧𝐜𝐞 𝐌𝐢𝐧𝐢𝐬𝐭𝐞̀𝐫𝐞 
2025-11-18,NDIAYE EL Hadji Rawane thank brother,positif,0.5692301392555237,Service Client,17,𝐀𝐮𝐝𝐢𝐞𝐧𝐜𝐞 𝐌𝐢𝐧𝐢𝐬𝐭𝐞̀𝐫𝐞 
2025-11-18,Bravo !,positif,0.8123321533203125,Service Client,18,🎙️ 𝐀𝐮𝐝𝐢𝐞𝐧𝐜𝐞 𝐩𝐫𝐞́𝐬𝐢𝐝𝐞
