date,topic,sentiment,score,reactions,comments,engagement
2025-11-18,Service Client,négatif,-0.48111099004745483,33,2,35
2025-11-18,Autre,neutre,-0.027322769165039062,58,2,60
2025-11-18,Couverture,positif,0.2943710684776306,73,3,76
2025-11-18,Couverture,positif,0.4402428865432739,48,4,52
2025-11-18,Service Client,positif,0.8834728896617889,240,2,242
2025-11-18,Application,positif,0.9248443245887756,435,3,438
2025-11-18,Autre,positif,0.6582350730895996,42,1,43
2025-11-18,Service Client,positif,0.8625768224398295,129,3,132
2025-11-18,Réseau,positif,0.8979751467704773,29,1,30
2025-11-18,Service Client,positif,0.9141394197940826,101,2,103
2025-11-18,Service Client,positif,0.8650181293487549,133,2,135
2025-11-18,Autre,positif,0.7089548408985138,53,6,59
2025-11-18,Service Client,positif,0.7059584682186445,481,24,505
2025-11-18,Service Client,positif,0.8410552271774837,119,14,133
2025-11-18,Service Client,positif,0.8872789144515991,152,4,156
2025-11-18,Service Client,positif,0.9302880167961121,35,1,36
2025-11-18,Couverture,positif,0.903002142906189,43,1,44
2025-11-18,Couverture,positif,0.47355473041534424,134,4,138
2025-11-18,Service Client,positif,0.8903148770332336,12,1,13
2025-11-18,Service Client,positif,0.9344045321146647,78,3,81
2025-11-18,Autre,positif,0.874569445848465,72,2,74
2025-11-18,Service Client,positif,0.8721371293067932,283,5,288
2025-11-18,Autre,positif,0.7122602164745331,159,2,161
2025-11-18,Réseau,neutre,0.0,82,1,83
2025-11-18,Couverture,positif,0.8888758222262064,47,3,50
